Source,Access method,Data type,Description,Key data points,NARAD use
INCOIS Ocean Services,Official portal / forecast services,"Ocean state, high wave, coastal and port advisories","Coastal and maritime forecasts, high-wave alerts, ship-route forecasts, ports & harbours products.","wave height, swell, wind, current, tide, coastal segment, forecast horizon, alert level, ship-route/port product","Maritime risk, coastal alerts, port weather context"
NPCIL,Official site / plant pages,Nuclear site and unit status,Indian nuclear power plant operating and construction status.,"site name, unit, reactor type, status, capacity MW, construction stage, location, project notes",Nuclear infrastructure layer
IAEA reactor databases,Official database/search,Reactor facility reference data,International reactor reference for power/research reactor context.,"facility name, type, status, capacity, country, coordinates, reactor class",Nuclear enrichment and validation
AAI Organization / airport stats,Official site / reports,Airport inventory and traffic statistics,Operational airport inventory and traffic handled figures.,"airport name, class, operator, passenger count, aircraft movements, freight tonnage, city/state",Airport master layer and operations KPIs
AAI eAIP India,Aeronautical information publication,Aerodrome operational data,Aerodrome-level operational and infrastructure data.,"ICAO/IATA, coordinates, elevation, runway details, operating hours, services, fuel, cargo, ATS details","Airport detail drawer, operational context"
AAI Air Traffic Reports,Monthly reports,Airport traffic time series,"Traffic reports for aircraft movements, passengers, freight.","airport/month, passenger totals, movement totals, domestic/international split, freight",Airport trend charts
IPA / Indian Ports Association,Official site / downloadable reports,"Major and non-major port stats, daily vessel position",Port operations and traffic reporting.,"port name, vessel position, cargo handled, container traffic, commodity traffic, equipment, monthly traffic","Port layer, congestion and cargo dashboards"
PDMP / MoPSW port data portals,Government portal,Port and shipping analytics,"Port operations, shipping, and inland water transport analytics.","port metrics, cargo volumes, vessel counts, turnaround/throughput fields where available",Port analytics
CRIS / NTES / RailDrishti,Official portals / dashboards,"Train movement, punctuality, stations, freight and projects",Passenger and freight railway operational dashboards and information systems.,"train status, station, punctuality, freight loading/unloading, corridor/project metrics, grievances, station details",Rail operations and corridor intelligence
FOIS (Indian Railways freight),Official system context / dashboards where public,Freight operations,Freight information and wagon/rake movement context.,"loading, unloading, rake/wagon/loco status, terminal, commodity, route",Freight corridor analytics
ACLED API,API (account + token),"Conflict, demonstration, strategic development events","Structured event dataset for political violence and demonstrations, plus CAST alerts.","event_date, country/admin areas, event_type/sub_event_type, actors, fatalities, notes, source, coordinates","Conflict/protest seed events, model training, corroboration"
NASA FIRMS,API / WMS / MAP_KEY,Fire and thermal anomaly detections,Satellite-derived active fire and thermal hotspot signals.,"latitude, longitude, brightness, confidence, satellite/instrument, acquisition date/time, FRP",Wildfire/industrial fire hotspot layer
OpenSky Network API,REST API with OAuth2,"Aircraft state vectors, flights, tracks",Live aircraft telemetry and flight/track data with rate limits.,"icao24, callsign, origin_country, time_position, last_contact, longitude, latitude, baro_altitude, velocity, heading, vertical_rate, on_ground",Aviation situational awareness
GDELT,API/search/map outputs,Global multilingual news/event recall,Large-scale multilingual news coverage useful for external context and discovery.,"source URL, language, theme, location mentions, timestamp, article text/snippets","Contextual news recall, cross-border context"
PRS India Bills Track,Web portal,Legislative summaries and bill tracking,Curated bill summaries and legislative progress overviews.,"bill title, ministry, status, summary, dates, linked documents",Readable legislative digest layer
Bhashini / Digital India Bhashini,Platform / APIs,"Translation, ASR, TTS, OCR",Indian language AI stack for multilingual ingestion and user display.,"source language, target language, transcript text, translated text, OCR text, synthesized speech metadata","Multilingual UX, document OCR/translation, voice interfaces"
